222222222222222222222222222222222222222222222222222222
2						     2 
2 22222222222222222222222222222222222222222222222222 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000001111111111100000000000000000002 2
2 20000000000000000001000000000100000000000000000002 2
2 20000000000000000001000000000100000000011000000002 2
2 20001111111111000001000000000100000000011000000002 2
2 20000000000001111111000000000100000000011000000002 2 
2 20000000000000000000000000000100000000011000000002 2
2 20000000000000000000000000000100000000011000000002 2
2 20000000001100000000000000000100000000011111111112 2
2 20000000001111111111000000000100000000011111111112 2
2 20000000001100000000000000000100000000000000000002 2 
2 20000000001100000000000000000100000000000000000002 2
2 20000000001100000000000000000111111110000000000002 2
2 20000000001100000000000000000000000010000000000002 2 
2 20000000000000000000000000000000000000000000000002 2
2 20000000000111111111111111111100000000000000000002 2
2 20000000000100000000000000000100000000000000000002 2
2 20000000000100000000000000000100000000000000000002 2
2 20000000000100000000000000i00100000000000000000002 2
2 20000000000100000000000000000100000000000000000002 2
2 20000000000100011111111111111100000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2  
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2 
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000030003000000000000000000000000000000000303002 2  
2 20030030030300300000000000000033330303030303030302 2
2 20303030303003000100001000000333333333333333333332 2
2 23333333333333333100001003030333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2 
2 23333333333333333100001333333333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2
2 23333333333333333100001333333333333333333333333332 2  
2 23333333333333333100001333333333333333333333333332 2
2 23030330303333333100001333030330033330330330303332 2
2 20000000000000000100001000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 20000000000000000000000000000000000000000000000002 2
2 22222222222222222222222222222222222222222222222222 2 
2						     2
222222222222222222222222222222222222222222222222222222
